checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,numner-people-provide-maintenance-for,telephone,foreign-worker,sex,marital-status,class-label,task_6_response
<0 debit memo,18,existing credits paid back duly till now,car (new),976,<100 debit memo,<1 years,1,none,2,car or other,23,none,own,1,unskilled - resident,1,none,yes,female,divorced/separated,0,1
0  to 200 debit memo,12,existing credits paid back duly till now,business,841,100  to 500 debit memo,4 to 7 years,2,none,4,real estate,23,none,rent,1,unskilled - resident,1,none,yes,female,divorced/separated,1,1
no account,30,critical account,radio/television,5771,<100 debit memo,4 to 7 years,4,none,2,car or other,25,none,own,2,skilled employee / official,1,none,yes,female,divorced/separated,1,0
no account,10,existing credits paid back duly till now,car (used),2901,no savings account,<1 years,1,none,4,real estate,31,none,rent,1,skilled employee / official,1,none,yes,female,divorced/separated,1,1
<0 debit memo,36,critical account,education,8065,<100 debit memo,1 to  4 years,3,none,2,unknown / no property,25,none,own,2,management/ highly qualified employee,1,yes,yes,female,divorced/separated,0,0
>= 200 debit memo ,12,critical account,car (new),1480,500  to  1000 debit memo,unemployed,2,none,4,unknown / no property,66,bank,for free,3,unemployed/ unskilled  - non-resident,1,none,yes,male,divorced/separated,1,0
<0 debit memo,24,existing credits paid back duly till now,car (new),1371,no savings account,1 to  4 years,4,none,4,real estate,25,none,rent,1,skilled employee / official,1,none,yes,female,divorced/separated,0,1
<0 debit memo,18,existing credits paid back duly till now,radio/television,3509,<100 debit memo,4 to 7 years,4,guarantor,1,real estate,25,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated,1,1
no account,36,critical account,car (used),5711,>= 1000 debit memo,>=7 years,4,none,2,car or other,38,none,own,2,management/ highly qualified employee,1,yes,yes,male,divorced/separated,1,1
no account,6,critical account,furniture/equipment,1221,no savings account,1 to  4 years,1,none,2,savings agreement/life insurance,27,none,own,2,skilled employee / official,1,none,yes,male,married/widowed,1,1
>= 200 debit memo ,24,existing credits paid back duly till now,furniture/equipment,2892,<100 debit memo,>=7 years,3,none,4,unknown / no property,51,none,for free,1,skilled employee / official,1,none,yes,male,divorced/separated,1,1
<0 debit memo,48,existing credits paid back duly till now,domestic appliances,3051,<100 debit memo,1 to  4 years,3,none,4,car or other,54,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated,0,1
0  to 200 debit memo,36,delay in paying off,car (new),7432,<100 debit memo,1 to  4 years,2,none,2,savings agreement/life insurance,54,none,rent,1,skilled employee / official,1,none,yes,female,divorced/separated,1,0
no account,12,existing credits paid back duly till now,car (new),1101,<100 debit memo,1 to  4 years,3,none,2,real estate,27,none,own,2,skilled employee / official,1,yes,yes,male,married/widowed,1,1
0  to 200 debit memo,48,delay in paying off,business,6681,no savings account,1 to  4 years,4,none,4,unknown / no property,38,none,for free,1,skilled employee / official,2,yes,yes,male,divorced/separated,1,0
no account,18,existing credits paid back duly till now,repairs,1943,<100 debit memo,<1 years,4,none,4,real estate,23,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated,0,1
0  to 200 debit memo,21,existing credits paid back duly till now,furniture/equipment,3976,no savings account,4 to 7 years,2,none,3,car or other,35,none,own,1,skilled employee / official,1,yes,yes,male,divorced/separated,1,1
no account,24,existing credits paid back duly till now,car (new),1249,<100 debit memo,<1 years,4,none,2,real estate,28,none,own,1,skilled employee / official,1,none,yes,male,married/widowed,1,1
<0 debit memo,12,existing credits paid back duly till now,radio/television,709,<100 debit memo,>=7 years,4,none,4,real estate,57,store,own,1,unskilled - resident,1,none,yes,male,divorced/separated,0,1
no account,24,critical account,car (used),4042,no savings account,4 to 7 years,3,none,4,savings agreement/life insurance,43,none,own,2,skilled employee / official,1,yes,yes,male,divorced/separated,1,0
no account,36,delay in paying off,car (new),10875,<100 debit memo,>=7 years,2,none,2,car or other,45,none,own,2,skilled employee / official,2,yes,yes,male,divorced/separated,1,0
no account,10,existing credits paid back duly till now,retraining,894,no savings account,4 to 7 years,4,none,3,savings agreement/life insurance,40,none,own,1,skilled employee / official,1,yes,yes,female,divorced/separated,1,1
no account,10,existing credits paid back duly till now,furniture/equipment,2210,<100 debit memo,1 to  4 years,2,none,2,real estate,25,bank,rent,1,unskilled - resident,1,none,yes,male,divorced/separated,0,1
no account,18,critical account,radio/television,1098,<100 debit memo,unemployed,4,none,4,car or other,65,none,own,2,unemployed/ unskilled  - non-resident,1,none,yes,female,divorced/separated,1,0
<0 debit memo,21,existing credits paid back duly till now,radio/television,2606,<100 debit memo,<1 years,4,none,4,savings agreement/life insurance,28,none,rent,1,management/ highly qualified employee,1,yes,yes,female,divorced/separated,1,1
no account,15,existing credits paid back duly till now,furniture/equipment,2186,no savings account,4 to 7 years,1,none,4,real estate,33,bank,rent,1,unskilled - resident,1,none,yes,female,divorced/separated,1,1
no account,15,existing credits paid back duly till now,radio/television,1386,no savings account,1 to  4 years,4,none,2,real estate,40,none,rent,1,skilled employee / official,1,yes,yes,male,married/widowed,1,1
<0 debit memo,12,existing credits paid back duly till now,radio/television,1107,<100 debit memo,1 to  4 years,2,none,2,real estate,20,none,rent,1,management/ highly qualified employee,2,yes,yes,male,divorced/separated,1,1
0  to 200 debit memo,36,existing credits paid back duly till now,education,3711,no savings account,1 to  4 years,2,none,2,car or other,27,none,own,1,skilled employee / official,1,none,yes,male,married/widowed,1,1
no account,15,delay in paying off,car (used),3594,<100 debit memo,<1 years,1,none,2,savings agreement/life insurance,46,none,own,2,unskilled - resident,1,none,yes,female,divorced/separated,1,0
0  to 200 debit memo,9,existing credits paid back duly till now,car (new),3195,no savings account,1 to  4 years,1,none,2,real estate,33,none,own,1,unskilled - resident,1,none,yes,female,divorced/separated,1,1
<0 debit memo,24,all credits at this bank paid back duly,business,3161,<100 debit memo,1 to  4 years,4,none,2,savings agreement/life insurance,31,none,rent,1,skilled employee / official,1,yes,yes,male,divorced/separated,0,1
<0 debit memo,6,existing credits paid back duly till now,car (new),14896,<100 debit memo,>=7 years,1,none,4,unknown / no property,68,bank,own,1,management/ highly qualified employee,1,yes,yes,male,divorced/separated,0,1
no account,48,delay in paying off,radio/television,12749,500  to  1000 debit memo,4 to 7 years,4,none,1,car or other,37,none,own,1,management/ highly qualified employee,1,yes,yes,male,divorced/separated,1,0
<0 debit memo,24,all credits at this bank paid back duly,furniture/equipment,6872,<100 debit memo,<1 years,2,none,1,savings agreement/life insurance,55,bank,own,1,skilled employee / official,1,yes,yes,male,divorced/separated,0,1
<0 debit memo,12,all credits at this bank paid back duly,car (new),697,<100 debit memo,<1 years,4,none,2,car or other,46,bank,own,2,skilled employee / official,1,yes,yes,male,divorced/separated,0,1
no account,9,critical account,car (new),1224,<100 debit memo,1 to  4 years,3,none,1,real estate,30,none,own,2,skilled employee / official,1,none,yes,male,divorced/separated,1,0
no account,12,critical account,radio/television,522,500  to  1000 debit memo,>=7 years,4,none,4,savings agreement/life insurance,42,none,own,2,skilled employee / official,2,yes,yes,male,divorced/separated,1,1
<0 debit memo,12,existing credits paid back duly till now,radio/television,1498,<100 debit memo,1 to  4 years,4,none,1,car or other,23,bank,own,1,skilled employee / official,1,none,yes,female,divorced/separated,1,1
0  to 200 debit memo,6,existing credits paid back duly till now,radio/television,2063,<100 debit memo,<1 years,4,none,3,car or other,30,none,rent,1,management/ highly qualified employee,1,yes,yes,male,married/widowed,1,1
no account,12,existing credits paid back duly till now,car (new),3527,no savings account,<1 years,2,none,3,savings agreement/life insurance,45,none,own,1,management/ highly qualified employee,2,yes,yes,male,divorced/separated,1,1
no account,4,critical account,car (new),1455,<100 debit memo,4 to 7 years,2,none,1,real estate,42,none,own,3,unskilled - resident,2,none,yes,male,divorced/separated,1,0
no account,24,existing credits paid back duly till now,radio/television,3621,100  to 500 debit memo,>=7 years,2,none,4,car or other,31,none,own,2,skilled employee / official,1,none,yes,male,divorced/separated,0,1
<0 debit memo,24,critical account,radio/television,1231,>= 1000 debit memo,>=7 years,4,none,4,savings agreement/life insurance,57,none,rent,2,management/ highly qualified employee,1,yes,yes,female,divorced/separated,1,1
no account,6,critical account,radio/television,1740,<100 debit memo,>=7 years,2,none,2,real estate,30,none,rent,2,skilled employee / official,1,none,yes,male,married/widowed,1,1
0  to 200 debit memo,21,delay in paying off,car (new),2353,<100 debit memo,1 to  4 years,1,none,4,savings agreement/life insurance,47,none,own,2,skilled employee / official,1,none,yes,male,divorced/separated,1,0
<0 debit memo,24,all credits at this bank paid back duly,car (new),1193,<100 debit memo,unemployed,1,co-applicant,4,unknown / no property,29,none,rent,2,unemployed/ unskilled  - non-resident,1,none,yes,female,divorced/separated,0,0
no account,24,critical account,furniture/equipment,2028,<100 debit memo,4 to 7 years,2,none,2,savings agreement/life insurance,30,none,own,2,unskilled - resident,1,none,yes,male,divorced/separated,1,0
<0 debit memo,36,existing credits paid back duly till now,furniture/equipment,3959,<100 debit memo,unemployed,4,none,3,savings agreement/life insurance,30,none,own,1,management/ highly qualified employee,1,yes,yes,male,divorced/separated,1,0
