checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,numner-people-provide-maintenance-for,telephone,foreign-worker,sex,marital-status,task_1_response,task_2_response,task_3_response,task_4_response,task_5_response,class-label
<0 debit memo,48,critical account,car (used),6143,<100 debit memo,>=7 years,4,none,4,unknown / no property,58,store,for free,2,unskilled - resident,1,none,yes,female,divorced/separated,0,0,0,0,0,0
no account,6,no credits taken,car (new),1204,100  to 500 debit memo,1 to  4 years,4,none,1,unknown / no property,35,bank,rent,1,skilled employee / official,1,none,no,male,divorced/separated,0,0,0,0,0,1
0  to 200 debit memo,6,all credits at this bank paid back duly,education,433,>= 1000 debit memo,<1 years,4,none,2,savings agreement/life insurance,24,bank,rent,1,skilled employee / official,2,none,yes,female,divorced/separated,1,1,1,0,1,0
no account,12,existing credits paid back duly till now,furniture/equipment,1574,<100 debit memo,1 to  4 years,4,none,2,real estate,50,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated,1,1,1,1,1,1
0  to 200 debit memo,36,critical account,car (used),5800,<100 debit memo,1 to  4 years,3,none,4,car or other,34,none,own,2,skilled employee / official,1,yes,yes,male,divorced/separated,0,0,1,0,0,1
<0 debit memo,24,all credits at this bank paid back duly,business,3161,<100 debit memo,1 to  4 years,4,none,2,savings agreement/life insurance,31,none,rent,1,skilled employee / official,1,yes,yes,male,divorced/separated,1,1,1,0,1,0
0  to 200 debit memo,8,existing credits paid back duly till now,business,907,<100 debit memo,<1 years,3,none,2,real estate,26,none,own,1,skilled employee / official,1,yes,yes,male,married/widowed,1,1,1,0,1,1
no account,12,all credits at this bank paid back duly,retraining,3447,500  to  1000 debit memo,1 to  4 years,4,none,3,real estate,35,none,own,1,unskilled - resident,2,none,yes,female,divorced/separated,1,1,1,0,1,1
<0 debit memo,36,existing credits paid back duly till now,furniture/equipment,2712,<100 debit memo,>=7 years,2,none,2,savings agreement/life insurance,41,bank,own,1,skilled employee / official,2,none,yes,male,divorced/separated,1,1,1,0,1,0
<0 debit memo,24,existing credits paid back duly till now,radio/television,1938,<100 debit memo,<1 years,4,none,3,savings agreement/life insurance,32,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated,0,1,1,1,1,0
no account,24,critical account,radio/television,1851,<100 debit memo,4 to 7 years,4,guarantor,2,car or other,33,none,own,2,skilled employee / official,1,yes,yes,male,married/widowed,0,1,0,0,0,1
0  to 200 debit memo,24,existing credits paid back duly till now,car (new),3512,100  to 500 debit memo,4 to 7 years,2,none,3,car or other,38,bank,own,2,skilled employee / official,1,yes,yes,male,divorced/separated,1,1,1,1,1,1
0  to 200 debit memo,18,delay in paying off,business,2427,no savings account,>=7 years,4,none,2,savings agreement/life insurance,42,none,own,2,skilled employee / official,1,none,yes,male,divorced/separated,0,0,0,0,0,1
<0 debit memo,18,critical account,repairs,1190,<100 debit memo,unemployed,2,none,4,unknown / no property,55,none,for free,3,unemployed/ unskilled  - non-resident,2,none,yes,female,divorced/separated,0,0,0,0,0,0
no account,10,existing credits paid back duly till now,car (new),1546,<100 debit memo,1 to  4 years,3,none,2,real estate,31,none,own,1,unskilled - resident,2,none,no,male,divorced/separated,1,1,1,0,0,1
0  to 200 debit memo,12,existing credits paid back duly till now,furniture/equipment,3017,<100 debit memo,<1 years,3,none,1,real estate,34,none,rent,1,management/ highly qualified employee,1,none,yes,female,divorced/separated,0,1,1,0,1,1
0  to 200 debit memo,9,existing credits paid back duly till now,car (new),276,<100 debit memo,1 to  4 years,4,none,4,real estate,22,none,rent,1,unskilled - resident,1,none,yes,male,married/widowed,1,1,0,0,0,1
no account,12,critical account,car (new),926,<100 debit memo,unemployed,1,none,2,savings agreement/life insurance,38,none,own,1,unemployed/ unskilled  - non-resident,1,none,yes,female,divorced/separated,0,0,0,0,0,1
0  to 200 debit memo,9,existing credits paid back duly till now,business,1391,<100 debit memo,1 to  4 years,2,none,1,real estate,27,bank,own,1,skilled employee / official,1,yes,yes,male,married/widowed,1,1,1,1,1,1
0  to 200 debit memo,24,existing credits paid back duly till now,furniture/equipment,4057,<100 debit memo,4 to 7 years,3,none,3,car or other,43,none,own,1,skilled employee / official,1,yes,yes,male,divorced/separated,1,1,1,1,1,0
0  to 200 debit memo,6,all credits at this bank paid back duly,car (new),931,100  to 500 debit memo,<1 years,1,none,1,savings agreement/life insurance,32,store,own,1,unskilled - resident,1,none,yes,female,divorced/separated,1,1,1,0,1,0
no account,10,existing credits paid back duly till now,car (used),2901,no savings account,<1 years,1,none,4,real estate,31,none,rent,1,skilled employee / official,1,none,yes,female,divorced/separated,0,1,0,0,1,1
<0 debit memo,12,existing credits paid back duly till now,education,684,<100 debit memo,1 to  4 years,4,none,4,car or other,40,none,rent,1,unskilled - resident,2,none,yes,male,divorced/separated,0,1,0,0,0,0
<0 debit memo,48,existing credits paid back duly till now,education,7476,<100 debit memo,4 to 7 years,4,none,1,unknown / no property,50,none,for free,1,management/ highly qualified employee,1,yes,yes,male,divorced/separated,0,0,0,0,0,1
no account,15,existing credits paid back duly till now,furniture/equipment,2221,500  to  1000 debit memo,1 to  4 years,2,none,4,car or other,20,none,rent,1,skilled employee / official,1,none,yes,female,divorced/separated,0,1,0,0,0,1
<0 debit memo,12,critical account,car (new),4843,<100 debit memo,>=7 years,3,co-applicant,4,savings agreement/life insurance,43,none,rent,2,skilled employee / official,1,yes,yes,male,divorced/separated,0,0,0,0,0,0
no account,18,existing credits paid back duly till now,furniture/equipment,2515,<100 debit memo,1 to  4 years,3,none,4,real estate,43,none,own,1,skilled employee / official,1,yes,yes,male,divorced/separated,1,1,1,1,1,1
<0 debit memo,12,existing credits paid back duly till now,car (new),3651,>= 1000 debit memo,1 to  4 years,1,none,3,savings agreement/life insurance,31,none,own,1,skilled employee / official,2,none,yes,male,divorced/separated,1,1,1,0,0,1
>= 200 debit memo ,4,existing credits paid back duly till now,car (new),1494,no savings account,<1 years,1,none,2,real estate,29,none,own,1,unskilled - resident,2,none,no,male,divorced/separated,0,0,0,0,0,1
0  to 200 debit memo,48,existing credits paid back duly till now,others,5381,no savings account,unemployed,3,none,4,unknown / no property,40,bank,for free,1,unemployed/ unskilled  - non-resident,1,yes,yes,male,divorced/separated,0,0,0,0,0,1
>= 200 debit memo ,12,existing credits paid back duly till now,radio/television,3399,no savings account,>=7 years,2,none,3,car or other,37,none,own,1,management/ highly qualified employee,1,none,yes,male,divorced/separated,1,1,1,1,1,1
<0 debit memo,15,critical account,furniture/equipment,1478,<100 debit memo,>=7 years,4,none,4,car or other,44,none,own,2,skilled employee / official,2,yes,yes,male,divorced/separated,0,0,1,0,0,1
0  to 200 debit memo,6,delay in paying off,business,1449,100  to 500 debit memo,>=7 years,1,none,2,car or other,31,bank,own,2,skilled employee / official,2,none,yes,male,divorced/separated,0,0,1,0,0,1
0  to 200 debit memo,24,critical account,radio/television,1743,<100 debit memo,>=7 years,4,none,2,savings agreement/life insurance,48,none,own,2,unskilled - resident,1,none,yes,male,divorced/separated,0,1,1,0,0,1
no account,12,existing credits paid back duly till now,radio/television,3077,<100 debit memo,1 to  4 years,2,none,4,car or other,52,none,own,1,skilled employee / official,1,yes,yes,male,divorced/separated,1,1,1,1,1,1
no account,6,existing credits paid back duly till now,furniture/equipment,1766,<100 debit memo,1 to  4 years,1,none,2,savings agreement/life insurance,21,none,rent,1,skilled employee / official,1,none,yes,male,married/widowed,0,1,1,0,1,1
0  to 200 debit memo,9,existing credits paid back duly till now,furniture/equipment,2030,no savings account,4 to 7 years,2,none,1,car or other,24,none,own,1,skilled employee / official,1,yes,yes,male,divorced/separated,1,1,1,1,1,1
no account,11,critical account,radio/television,1154,100  to 500 debit memo,unemployed,4,none,4,real estate,57,none,own,3,unskilled - resident,1,none,yes,female,divorced/separated,0,0,0,0,0,1
<0 debit memo,20,critical account,furniture/equipment,4272,<100 debit memo,>=7 years,1,none,4,savings agreement/life insurance,24,none,own,2,skilled employee / official,1,none,yes,female,divorced/separated,0,0,0,0,0,1
0  to 200 debit memo,72,existing credits paid back duly till now,radio/television,5595,100  to 500 debit memo,1 to  4 years,2,none,2,car or other,24,none,own,1,skilled employee / official,1,none,yes,male,married/widowed,0,0,0,0,0,0
<0 debit memo,12,critical account,car (new),2122,<100 debit memo,1 to  4 years,3,none,2,real estate,39,none,rent,2,unskilled - resident,2,none,no,male,divorced/separated,0,0,0,0,0,1
no account,24,critical account,business,4139,100  to 500 debit memo,1 to  4 years,3,none,3,savings agreement/life insurance,27,none,own,2,unskilled - resident,1,yes,yes,male,divorced/separated,0,0,0,0,0,1
no account,7,delay in paying off,radio/television,846,no savings account,>=7 years,3,none,4,unknown / no property,36,none,for free,1,skilled employee / official,1,none,yes,male,divorced/separated,0,0,0,0,0,1
no account,15,critical account,education,1532,100  to 500 debit memo,1 to  4 years,4,none,3,car or other,31,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated,0,0,0,0,0,1
0  to 200 debit memo,21,existing credits paid back duly till now,furniture/equipment,3976,no savings account,4 to 7 years,2,none,3,car or other,35,none,own,1,skilled employee / official,1,yes,yes,male,divorced/separated,1,1,1,1,1,1
0  to 200 debit memo,12,existing credits paid back duly till now,radio/television,766,500  to  1000 debit memo,1 to  4 years,4,none,3,real estate,66,none,own,1,unskilled - resident,1,none,yes,male,divorced/separated,1,1,1,0,1,0
0  to 200 debit memo,24,existing credits paid back duly till now,car (new),1246,<100 debit memo,<1 years,4,none,2,real estate,23,store,own,1,unskilled - resident,1,none,yes,male,divorced/separated,1,1,1,0,1,0
no account,12,existing credits paid back duly till now,business,1542,<100 debit memo,4 to 7 years,2,none,4,car or other,36,none,own,1,skilled employee / official,1,yes,yes,male,divorced/separated,1,1,1,1,1,1
no account,24,existing credits paid back duly till now,furniture/equipment,929,no savings account,4 to 7 years,4,none,2,car or other,31,store,own,1,skilled employee / official,1,yes,yes,male,divorced/separated,1,1,1,1,1,1
no account,15,existing credits paid back duly till now,car (used),3029,<100 debit memo,4 to 7 years,2,none,2,car or other,33,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated,1,1,1,1,1,1
no account,18,existing credits paid back duly till now,furniture/equipment,1533,<100 debit memo,<1 years,4,co-applicant,1,savings agreement/life insurance,43,none,own,1,unskilled - resident,2,none,yes,male,married/widowed,0,1,0,0,0,0
0  to 200 debit memo,48,delay in paying off,business,6681,no savings account,1 to  4 years,4,none,4,unknown / no property,38,none,for free,1,skilled employee / official,2,yes,yes,male,divorced/separated,0,0,0,0,0,1
0  to 200 debit memo,12,existing credits paid back duly till now,car (new),888,<100 debit memo,>=7 years,4,none,4,car or other,41,bank,own,1,unskilled - resident,2,none,yes,male,divorced/separated,1,1,1,0,1,0
0  to 200 debit memo,18,delay in paying off,furniture/equipment,4297,<100 debit memo,>=7 years,4,none,3,unknown / no property,40,none,own,1,management/ highly qualified employee,1,yes,yes,male,divorced/separated,0,0,0,0,0,0
>= 200 debit memo ,30,delay in paying off,business,1908,<100 debit memo,>=7 years,4,none,4,real estate,66,none,own,1,management/ highly qualified employee,1,yes,yes,male,divorced/separated,0,0,0,0,0,0
no account,24,existing credits paid back duly till now,radio/television,3235,500  to  1000 debit memo,>=7 years,3,none,2,car or other,26,none,own,1,management/ highly qualified employee,1,yes,yes,male,divorced/separated,1,1,1,1,1,1
0  to 200 debit memo,60,existing credits paid back duly till now,car (new),7408,100  to 500 debit memo,<1 years,4,none,2,savings agreement/life insurance,24,none,own,1,management/ highly qualified employee,1,none,yes,female,divorced/separated,0,0,0,0,0,0
<0 debit memo,24,existing credits paid back duly till now,business,6568,<100 debit memo,1 to  4 years,2,none,2,car or other,21,store,own,1,unskilled - resident,1,none,yes,male,married/widowed,0,0,0,0,0,1
<0 debit memo,24,all credits at this bank paid back duly,car (used),3632,<100 debit memo,1 to  4 years,1,guarantor,4,car or other,22,bank,rent,1,skilled employee / official,1,none,no,female,divorced/separated,0,1,0,0,0,1
no account,54,no credits taken,car (used),9436,no savings account,1 to  4 years,2,none,2,savings agreement/life insurance,39,none,own,1,unskilled - resident,2,none,yes,male,divorced/separated,0,0,0,0,0,1
